Miscellaneous Statistical
Information
This page intentionally left blank
P RIORITIES,,,,,
The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as
reported by the departments.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,Going,Going
forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct
priority.,,,,,
,&z ϮϬϭϯ,ůů &ƵŶĚƐ,,,
,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ƌĞĂ,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕,,,,
,DŽďŝůŝƚLJ ĂŶĚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,,
,ŽŶŶĞĐƚŝǀŝƚLJ͕ Ϯ͘ρй,ĂŶĚ tŽƌŬĨŽƌĐĞ,ĂŶĚ tŽƌŬĨŽƌĐĞ,,
,,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,,
,,,ŶǀŝƌŽŶŵĞŶƚĂů,,
,,,^ƵƐƚĂŝŶĂďŝůŝƚLJ͕ ϭ͘εй,,
,tĞůůͲDĂŶĂŐĞĚ,,,,
,'ŽǀĞƌŶŵĞŶƚ͕ Ϯϳй,,,,
,,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ͕,,,
,,ϯϮ͘Θй,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ",,,,
,/ŶĐůƵƐŝǀĞ,,,,
,ŽŵŵƵŶŝƚŝĞƐ͕ ϯϮ͘Ϭй,,,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕ DŽďŝůŝƚLJ ĂŶĚ ŽŶŶĞĐƚŝǀŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,,
,ŶǀŝƌŽŶŵĞŶƚĂů ^ƵƐƚĂŝŶĂďŝůŝƚLJ,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ /ŶĐůƵƐŝǀĞ ŽŵŵƵŶŝƚŝĞƐ",tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,,
,,,,Priorities,485
The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,They are separated into six
Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic,Norfolk lies at the mouth of the James and Elizabeth Rivers and the Chesapeake Bay and is adjacent to the Atlantic
"Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.",,It has seven miles of Chesapeake Bay,It has seven miles of Chesapeake Bay,It has seven miles of Chesapeake Bay,It has seven miles of Chesapeake Bay,It has seven miles of Chesapeake Bay,It has seven miles of Chesapeake Bay,It has seven miles of Chesapeake Bay
"beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.",,,,,,
COMMUNITY P ROFILE,COMMUNITY P ROFILE,COMMUNITY P ROFILE,COMMUNITY P ROFILE,,,,,,,,,,,,,
"The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845.","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in 1845."
"Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,","Norfolk is a city of some 242,000 residents and more than 100 diverse neighborhoods. It is the cultural, educational,"
"business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest","business and medical center of Hampton Roads, hosts the region's international airport and is one of the busiest"
international ports on the East Coast of the United States.,international ports on the East Coast of the United States.,international ports on the East Coast of the United States.,international ports on the East Coast of the United States.,international ports on the East Coast of the United States.,international ports on the East Coast of the United States.,international ports on the East Coast of the United States.,,,,,,,,,,
"The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic","The city is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S. Atlantic"
"Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major","Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and other major"
"naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic","naval commands. According to information released by the U.S. Navy in January 2011, the Navy’s direct economic"
"impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5","impact to the region saw a decrease of approximately $1.4 billion, from $14.9 billion in fiscal year 2009 to $13.5"
"billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,","billion in fiscal year 2010. Total annual payroll (military and civilian) remained steady at $8.2 billion. However,"
procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.,procurement expenditures decreased from approximately $6.7 billion in FY 2009 to $5.3 billion in FY 2010.
Approximately,Approximately,"82,463",active,duty,Navy,military,personnel,were,in,Hampton,Roads,Roads,in,"2010,",of,which
"approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian","approximately 62 percent were assigned to Norfolk. In addition, there were approximately 37,813 Navy civilian"
"employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.","employees in Hampton Roads, of which 50 percent were located in Norfolk in FY 2010.",,,,,
,,,,,,,,,,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,507
The city also serves as a gateway between world commerce centers and the industrial heartland of the United,The city also serves as a gateway between world commerce centers and the industrial heartland of the United,The city also serves as a gateway between world commerce centers and the industrial heartland of the United,The city also serves as a gateway between world commerce centers and the industrial heartland of the United
"States. With one of the world’s largest natural deep-water harbors and a temperate climate, the city hosts the","States. With one of the world’s largest natural deep-water harbors and a temperate climate, the city hosts the","States. With one of the world’s largest natural deep-water harbors and a temperate climate, the city hosts the","States. With one of the world’s largest natural deep-water harbors and a temperate climate, the city hosts the"
"Norfolk International Terminals (NIT), one of the largest general cargo ports on the east coast. Close to 15.6 million","Norfolk International Terminals (NIT), one of the largest general cargo ports on the east coast. Close to 15.6 million","Norfolk International Terminals (NIT), one of the largest general cargo ports on the east coast. Close to 15.6 million","Norfolk International Terminals (NIT), one of the largest general cargo ports on the east coast. Close to 15.6 million"
"tons of cargo was shipped from the region’s three main marine cargo terminals in 2011, an increase of 1.9 percent","tons of cargo was shipped from the region’s three main marine cargo terminals in 2011, an increase of 1.9 percent","tons of cargo was shipped from the region’s three main marine cargo terminals in 2011, an increase of 1.9 percent","tons of cargo was shipped from the region’s three main marine cargo terminals in 2011, an increase of 1.9 percent"
over 2010. Annually port related business provide over $1.2 billion in local tax revenue. With the Heartland Corridor,over 2010. Annually port related business provide over $1.2 billion in local tax revenue. With the Heartland Corridor,over 2010. Annually port related business provide over $1.2 billion in local tax revenue. With the Heartland Corridor,over 2010. Annually port related business provide over $1.2 billion in local tax revenue. With the Heartland Corridor
"now operational, a full day has been shaved from transporting containers from the Port to the Midwest.","now operational, a full day has been shaved from transporting containers from the Port to the Midwest.","now operational, a full day has been shaved from transporting containers from the Port to the Midwest.",This is a
powerful competitive advantage.,"Coupled with the Port’s lease of the APM Terminal, the expansion of Craney","Coupled with the Port’s lease of the APM Terminal, the expansion of Craney","Coupled with the Port’s lease of the APM Terminal, the expansion of Craney"
"Island, and Norfolk’s harbor’s ability to accept the world’s largest cargo ships, the Port is well positioned to take","Island, and Norfolk’s harbor’s ability to accept the world’s largest cargo ships, the Port is well positioned to take","Island, and Norfolk’s harbor’s ability to accept the world’s largest cargo ships, the Port is well positioned to take","Island, and Norfolk’s harbor’s ability to accept the world’s largest cargo ships, the Port is well positioned to take"
advantage of the Panama Canal’s widening scheduled for completion in 2014.,advantage of the Panama Canal’s widening scheduled for completion in 2014.,advantage of the Panama Canal’s widening scheduled for completion in 2014.,
"Economic development initiatives are focused on the attraction, expansion and retention of businesses that play to","Economic development initiatives are focused on the attraction, expansion and retention of businesses that play to","Economic development initiatives are focused on the attraction, expansion and retention of businesses that play to","Economic development initiatives are focused on the attraction, expansion and retention of businesses that play to"
"the city's strengths, maritime, higher education, medical and research facilities, neighborhood and community","the city's strengths, maritime, higher education, medical and research facilities, neighborhood and community","the city's strengths, maritime, higher education, medical and research facilities, neighborhood and community","the city's strengths, maritime, higher education, medical and research facilities, neighborhood and community"
revitalization and commercial corridor development. Under the city's plan to promote the highest and best use for,revitalization and commercial corridor development. Under the city's plan to promote the highest and best use for,revitalization and commercial corridor development. Under the city's plan to promote the highest and best use for,revitalization and commercial corridor development. Under the city's plan to promote the highest and best use for
"scarce land, property assessed values increased 137 percent in the past decade.","scarce land, property assessed values increased 137 percent in the past decade.","scarce land, property assessed values increased 137 percent in the past decade.",
"The city is undergoing a successful renewal, including new office, retail, entertainment and hotel construction","The city is undergoing a successful renewal, including new office, retail, entertainment and hotel construction","The city is undergoing a successful renewal, including new office, retail, entertainment and hotel construction","The city is undergoing a successful renewal, including new office, retail, entertainment and hotel construction"
"downtown, new residential development along the rivers and bay front, and revitalization projects in many of its","downtown, new residential development along the rivers and bay front, and revitalization projects in many of its","downtown, new residential development along the rivers and bay front, and revitalization projects in many of its","downtown, new residential development along the rivers and bay front, and revitalization projects in many of its"
neighborhoods.,"Norfolk is now home to The Tide,",Virginia’s first and only light rail system.,"Currently, two new"
state-of-the-art construction projects are underway.,state-of-the-art construction projects are underway.,The Colonel Samuel L. Slover Memorial Library and the,The Colonel Samuel L. Slover Memorial Library and the
Consolidated Courthouse Complex located at Civic Plaza.,Consolidated Courthouse Complex located at Civic Plaza.,Consolidated Courthouse Complex located at Civic Plaza.,
C ITY F ACTS,,,
Total square miles (land area): 65.98,Total square miles (land area): 65.98,,
"Population estimate (2010 Census): 242,803","Population estimate (2010 Census): 242,803",,
"Median household income (2010): $41,613","Median household income (2010): $41,613",,
"Average sales price for existing single family homes (2011): $163,811","Average sales price for existing single family homes (2011): $163,811","Average sales price for existing single family homes (2011): $163,811",
"Average sales price for new single family homes (2011): $297,120","Average sales price for new single family homes (2011): $297,120","Average sales price for new single family homes (2011): $297,120",
Annual increase in overall home sales (2011): 18.6%,Annual increase in overall home sales (2011): 18.6%,,
Percentage of non-taxable property (2011): 33.8%,Percentage of non-taxable property (2011): 33.8%,,
Number of public elementary schools: 33,Number of public elementary schools: 33,,
Number of public middle schools: 8,Number of public middle schools: 8,,
Number of public high schools: 5,,,
Number of Preschools: 2,,,
Number of Special Purpose Schools: 3,Number of Special Purpose Schools: 3,,
Number of Other School Facilities: 4,Number of Other School Facilities: 4,,
508,Miscellaneous Statistical Information,,
CITY FACTS C ONTINUED,,
Number of public institutions of higher learning: 3,,
•,Old Dominion University,
•,Norfolk State University,
•,Tidewater Community College,
Number of private institutions of higher learning: 2,,
•,Eastern Virginia Medical School,
•,Virginia Wesleyan College,
Number of parks:,,
•,Two festival parks (Specially designated parks which are permitted and can support festivals and comply with,Two festival parks (Specially designated parks which are permitted and can support festivals and comply with
