410-30-502-5035-000000-000 Day Care,410-30-502-5035-000000-000 Day Care,"563,035","676,711","676,711","394,881"
410-30-502-5036-000000-000 Eligibility Administration,410-30-502-5036-000000-000 Eligibility Administration,410-30-502-5036-000000-000 Eligibility Administration,,,
501000,Sal-Full-time,"2,848,091","3,466,220","3,466,220","3,395,189"
501100,Sal-Part-time,"21,369",0,0,0
510099,Sal-Allow for Salary Savings,0,"-136,755","-136,755","-169,751"
511100,Bene-FICA,"207,316","255,149","255,149","259,724"
511115,Bene-Health Insurance,"408,099","503,759","503,759","605,401"
511120,Bene-Dental Insurance,"2,692","3,084","3,084","2,056"
511125,Bene-VRS Life Insurance,"7,610","9,348","9,348","40,413"
511140,Bene-Retirement VRS,"341,217","422,282","422,282","278,142"
511166,Bene-Allowance for Vacancy,0,"-13,249","-13,249","-14,996"
,Sav,,,,
521905,Contractual-Other,"33,764","50,000","51,170","7,500"
521907,Contractual-Performance Bonds,40,500,500,500
521914,Contractual-Temp Work,"22,817",0,"43,830","44,000"
531914,Supp-Office and Printing,940,"5,000","5,000","5,000"
533020,Noncap-Furniture,0,"5,000","5,000","5,000"
535100,Books and Publications,0,500,500,500
536110,Dues-Memberships,0,400,400,400
555100,Training,320,"1,000","1,000","2,000"
555210,Travel,162,"5,000","5,000","5,000"
620101,Garage Equip Rental Charges,"2,272",642,642,642
620103,Garage Contractual Charges,0,"2,407",0,0
410-30-502-5036-000000-000 Eligibility,410-30-502-5036-000000-000 Eligibility,"3,896,706","4,580,287","4,622,880","4,466,720"
410-30-502-5037-000000-000 Services Administration,410-30-502-5037-000000-000 Services Administration,410-30-502-5037-000000-000 Services Administration,,,
501000,Sal-Full-time,"2,120,573","2,569,305","2,569,305","2,532,040"
501100,Sal-Part-time,"45,586","150,749","150,749","150,749"
510000,Sal-Overtime,"5,663",0,0,0
510005,Allow-On-Call,"14,248","35,624","35,624","12,960"
510099,Sal-Allow for Salary Savings,0,"-123,801","-123,801","-126,607"
511100,Bene-FICA,"157,821","189,391","189,391","194,680"
511115,Bene-Health Insurance,"267,372","350,995","350,995","400,982"
511120,Bene-Dental Insurance,"1,796","1,836","1,836","1,328"
511125,Bene-VRS Life Insurance,"5,699","6,937","6,937","30,285"
511140,Bene-Retirement VRS,"248,407","306,432","306,432","206,334"
511166,Bene-Allowance for Vacancy,0,"-9,810","-9,810","-11,231"
,Sav,,,,
521504,Contractual-C.A.R.E.S.,"72,737","100,000","100,000","100,000"
521603,Contractual-Medical Expenses,600,0,"1,000","1,000"
521905,Contractual-Other,"20,427","96,957","92,132",0
521907,Contractual-Performance Bonds,350,300,300,300
521914,Contractual-Temp Work,"66,081",0,"162,970","70,000"
GovMax V5,,,,18-40,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Social Services Fund,Social Services Fund,
0603 Social Services Fund,0603 Social Services Fund,,,,
410-30-502-5037-000000-000 Services Administration,410-30-502-5037-000000-000 Services Administration,410-30-502-5037-000000-000 Services Administration,,,
531907,Supp-Food and Provisions,133,0,"2,000",0
531914,Supp-Office and Printing,"7,098","30,000","30,000","10,000"
533020,Noncap-Furniture,0,"5,000","5,000","5,000"
535100,Books and Publications,677,400,400,400
536110,Dues-Memberships,0,500,500,500
542100,Tele-Pager,"8,797",0,"1,825",0
554010,Advertising,0,"50,000",0,0
555100,Training,"1,552","2,000","2,390","2,000"
555210,Travel,"3,420","15,000","15,852","15,000"
620101,Garage Equip Rental Charges,"29,132","18,609","18,609","18,609"
620103,Garage Contractual Charges,0,"2,407",0,"-2,593"
850105,Cap-Motor Vehicles,0,"68,322","68,322","68,322"
410-30-502-5037-000000-000 Services,410-30-502-5037-000000-000 Services,"3,078,171","3,867,153","3,978,958","3,680,058"
410-30-502-5041-000000-000 CSA Administration,410-30-502-5041-000000-000 CSA Administration,410-30-502-5041-000000-000 CSA Administration,,,
501000,Sal-Full-time,"135,631","140,732","140,732","133,021"
510099,Sal-Allow for Salary Savings,0,"-6,657","-6,657","-6,651"
511100,Bene-FICA,"9,807","10,185","10,185","10,176"
511115,Bene-Health Insurance,"13,823","19,387","19,387","21,393"
511120,Bene-Dental Insurance,54,48,48,52
511125,Bene-VRS Life Insurance,353,372,372,"1,583"
511140,Bene-Retirement VRS,"16,693","17,641","17,641","11,001"
511166,Bene-Allowance for Vacancy,0,-529,-529,-589
,Sav,,,,
521905,Contractual-Other,"8,209","11,000","11,000","11,000"
521907,Contractual-Performance Bonds,0,100,100,100
522115,Maint-Office Equipment,0,"2,892","2,892","2,892"
523999,Rentals-Other,0,"4,000","4,000","1,715"
524110,Repairs-Office Equipment,0,100,100,100
531001,Supp-Postage,19,350,350,350
531914,Supp-Office and Printing,"2,547","9,000","6,100","4,100"
535100,Books and Publications,0,100,100,100
542010,Tele-Telephone,753,950,950,950
555100,Training,"1,025","3,000","3,000","3,000"
555205,Travel-Mileage,0,100,0,0
555210,Travel,470,0,"3,000","5,000"
610101,Computer Service Charges,"41,115","42,424","42,424","42,424"
620102,Motor Pool Charges,754,"1,300","1,300","1,300"
,410-30-502-5041-000000-000 CSA,"231,253","256,495","256,495","243,017"
,0603 Social Services Fund,"20,954,596","25,035,796","25,035,796","24,025,865"
,410 Social Services Fund,"20,954,596","25,035,796","25,035,796","24,025,865"
,,,Community Services Fund,Community Services Fund,
0604 CSA Fund,0604 CSA Fund,,,,
415-30-502-5039-000000-000 CSA Services,415-30-502-5039-000000-000 CSA Services,,,,
558110,PA-Conting. Appropriation,0,"160,678","160,678","31,418"
558117,PA-1D Family Foster Care Maint,"-1,908",0,0,0
558138,PA-Local Only Client Payments,0,"271,013","271,013","2,000"
558175,PA-1A Foster Care IVE,0,"159,740","159,740","50,000"
,CongCare,,,,
558176,PA-1B Foster Care CongCare,"-3,220","632,735","632,735","311,000"
558177,PA-1C CongCare Par,0,"34,540","34,540","16,064"
,Agr/NonCus,,,,
558179,PA-2A Ther Foster Care IVE,"587,227","1,225,440","1,225,440","810,000"
GovMax V5,,,,18-41,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Community Services Fund,Community Services Fund,
0604 CSA Fund,0604 CSA Fund,,,,
415-30-502-5039-000000-000 CSA Services,415-30-502-5039-000000-000 CSA Services,,,,
558180,PA-2A1 Ther Foster Care,"1,272,193","2,187,510","2,187,510","1,800,000"
558181,PA-2A2 TFC Par Agr/NonCus,579,"33,649","33,649","15,644"
558182,PA-2B Spec Foster Care IVE,"139,510","145,220","145,220","116,000"
558183,PA-2B1 Spec Foster Care,"588,582","592,775","592,775","550,000"
558184,PA-2C Fam Foster Care IVE,0,"12,810","12,810","5,903"
558185,PA-2D Fam Foster Care Maint,"5,671","176,447","176,447","80,000"
558186,PA-2E FFC Other and IL,"74,591","134,180","134,180","100,000"
558187,PA-2F Comm Based Svcs,"175,729","622,140","622,140","361,032"
558188,PA-2F1 Comm Svcs Transition,"21,200","74,802","74,802","75,000"
558189,PA-2G Alt Day/SPED Day,"270,923","607,888","607,888","400,000"
558190,PA-2H Public School Svcs,"1,285","65,988","65,988","31,097"
558191,PA-2I Psych Hospital,0,"7,288","7,288","3,351"
558192,PA-3 NonMand CongCare,0,"65,650","65,650","68,650"
558198,PA-4 Educ Svcs CongCare,"-4,465",0,0,0
558199,PA-3 NonMand Comm,"20,087","87,870","87,870","87,870"
558200,1E-Ed Svcs CongCare,"157,758","136,720","136,720","187,000"
,415-30-502-5039-000000-000 CSA,"3,305,743","7,435,083","7,435,083","5,102,029"
415-30-502-5040-000000-000 CSA Medicaid,415-30-502-5040-000000-000 CSA Medicaid,,,,
558164,PA-Medicaid,"78,759","231,384","231,384","200,000"
,415-30-502-5040-000000-000 CSA,"78,759","231,384","231,384","200,000"
,0604 CSA Fund,"3,384,502","7,666,467","7,666,467","5,302,029"
,415 Community Services Fund,"3,384,502","7,666,467","7,666,467","5,302,029"
,,Stormwater Management Fund,Stormwater Management Fund,Stormwater Management Fund,
0502 Storm Water Management Fund,0502 Storm Water Management Fund,,,,
420-25-400-4002-000000-000 Stormwater Management,420-25-400-4002-000000-000 Stormwater Management,420-25-400-4002-000000-000 Stormwater Management,,,
501000,Sal-Full-time,"569,337","709,071","709,071","858,564"
510000,Sal-Overtime,"14,177","11,000","11,000","11,000"
510005,Allow-On-Call,"6,397","10,796","10,796","6,480"
510099,Sal-Allow for Salary Savings,0,"-38,218","-38,218","-51,062"
511100,Bene-FICA,"42,077","52,768","52,768","64,298"
511115,Bene-Health Insurance,"97,309","137,779","137,779","217,375"
511120,Bene-Dental Insurance,542,504,504,540
511125,Bene-VRS Life Insurance,"1,492","9,297","9,297","17,366"
511140,Bene-Retirement VRS,"60,308","85,452","85,452","63,632"
511145,Bene-Retirement PSRS,"105,495","107,850","107,850","125,586"
511166,Bene-Allowance for Vacancy,0,"-2,739","-2,739","-4,086"
,Sav,,,,
521002,Contractual-Auditing,0,"1,300","1,300","1,300"
521905,Contractual-Other,"263,860","400,000","400,000","426,275"
521910,Contractual-Rental Uniforms,"6,510","6,181","6,181","6,181"
524999,Repairs-Other,0,"5,000","5,000","5,000"
531602,Supp-Medical,633,300,300,300
531914,Supp-Office and Printing,"3,448","5,000","5,000","5,000"
531917,Supp-Uniforms,"1,931","4,080","4,080","4,080"
531999,Supp-Other,"6,452","22,000","22,000","22,000"
532120,Mat-Construction,"30,632","52,000","52,000","52,000"
533030,Noncap-Small Tools,657,"2,500","2,500","2,500"
541999,Util-Other,"34,473","44,100","44,100","44,100"
542010,Tele-Telephone,160,"2,000","2,000","2,000"
542020,Tele-Telephone Cellular,"2,301","2,000","2,000","2,000"
553000,Indirect Cost Allocation,"76,534","76,533","76,533","76,533"
GovMax V5,,,,18-42,
,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,Stormwater Management Fund,Stormwater Management Fund,Stormwater Management Fund,
0502 Storm Water Management Fund,0502 Storm Water Management Fund,,,,
420-25-400-4002-000000-000 Stormwater Management,420-25-400-4002-000000-000 Stormwater Management,420-25-400-4002-000000-000 Stormwater Management,,,
555100,Training,"1,920","6,000","6,000","6,000"
610101,Computer Service Charges,"56,626","58,866","58,866","41,029"
610102,Telecommunications Charges,"1,887","1,652","1,652","1,995"
620101,Garage Equip Rental Charges,"142,530","91,451","91,451","91,451"
620102,Motor Pool Charges,377,0,0,0
620103,Garage Contractual Charges,"10,000","9,626","9,626","9,626"
630101,Risk Management Charges,"118,807","119,383","119,383","120,901"
850101,Cap-Equipment-Other,0,"532,400","532,400","451,000"
990100,Trans to General Fund,"282,550","375,557","375,557","410,689"
990300,Trans to CIP Fund,"3,317,451","4,209,659","4,209,659","5,375,495"
990740,Trans to Waste Management,0,"400,000","400,000",0
,Fund,,,,
990800,Trans to City Garage Fund,0,0,0,"44,000"
,420-25-400-4002-000000-000,"5,256,873","7,511,148","7,511,148","8,511,148"
0502 Storm Water Management Fund,0502 Storm Water Management Fund,"5,256,873","7,511,148","7,511,148","8,511,148"
,420 Stormwater Management Fund,"5,256,873","7,511,148","7,511,148","8,511,148"
,,,Willett Hall Fund,Willett Hall Fund,
0806 Willett Hall,,,,,
435-35-600-6004-000000-000 Willet Hall,435-35-600-6004-000000-000 Willet Hall,,,,
501000,Sal-Full-time,"62,434","77,858","77,858","80,594"
501100,Sal-Part-time,"37,604","71,200","71,200","71,200"
510099,Sal-Allow for Salary Savings,0,"-3,746","-3,746","-3,893"
511100,Bene-FICA,"7,614","11,571","11,571","5,956"
511115,Bene-Health Insurance,"1,831","5,493","5,493","7,578"
511120,Bene-Dental Insurance,0,72,72,40
511125,Bene-VRS Life Insurance,"7,888",210,210,927
511140,Bene-Retirement VRS,167,"9,927","9,927","6,438"
511166,Bene-Allowance for Vacancy,0,-589,-589,-636
,Sav,,,,
521706,Contractual-Janitorial,18,"2,500","2,500","2,500"
521905,Contractual-Other,"32,232","54,000","54,000","35,000"
521911,Contractual-Settlement Costs,"55,929","81,000","81,000","60,000"
524999,Repairs-Other,413,"50,000","50,000","15,000"
531402,Supp-Decorating,663,"1,000","1,000","1,000"
531701,Supp-Custodial,"2,282",0,0,0
531914,Supp-Office and Printing,"1,483","5,094","5,094","5,094"
536100,Dues and Subscriptions,149,"1,050","1,050","1,050"
554010,Advertising,699,"9,427","9,427","9,427"
555205,Travel-Mileage,0,630,630,630
555228,Purchase Card,"3,618",0,0,0
555399,Mtgs-Other,68,315,315,315
610101,Computer Service Charges,"7,168","7,306","7,306","8,414"
610102,Telecommunications Charges,"1,781","2,548","2,548","3,044"
,435-35-600-6004-000000-000 Willet,"224,040","386,866","386,866","309,678"
,0806 Willett Hall,"224,040","386,866","386,866","309,678"
,435 Willett Hall Fund,"224,040","386,866","386,866","309,678"
GovMax V5,,,,18-43,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Recreation Fund,Recreation Fund,
0708 Recreation Fund,0708 Recreation Fund,,,,
440-35-600-6003-000000-000 Before and After Program,440-35-600-6003-000000-000 Before and After Program,440-35-600-6003-000000-000 Before and After Program,,,
501100,Sal-Part-time,"252,069","125,000","125,000","199,968"
511100,Bene-FICA,"19,284","9,563","9,563","15,298"
511166,Bene-Allowance for Vacancy,0,-478,-478,0
,Sav,,,,
521905,Contractual-Other,"316,404","243,750","243,750","305,000"
531999,Supp-Other,"29,722","45,382","45,382","29,606"
555205,Travel-Mileage,16,0,0,0
555210,Travel,0,"3,000","3,000","3,000"
799999,Contribution to Net Assets,0,"87,565","87,565","87,565"
980950,Trans to Public Schools Oper,"40,000","86,218","86,218",0
440-35-600-6003-000000-000 Before,440-35-600-6003-000000-000 Before,"657,495","600,000","600,000","640,437"
,0708 Recreation Fund,"657,495","600,000","600,000","640,437"
,440 Recreation Fund,"657,495","600,000","600,000","640,437"
,,,Cemetery Fund,Cemetery Fund,
0512 Cemetery Perpetual Care Fund,0512 Cemetery Perpetual Care Fund,,,,
500-35-600-6005-000000-000 Cemetery Perpetual Care,500-35-600-6005-000000-000 Cemetery Perpetual Care,500-35-600-6005-000000-000 Cemetery Perpetual Care,,,
522999,Maint-Other,0,"100,000","100,000","100,000"
500-35-600-6005-000000-000 Cemetery,500-35-600-6005-000000-000 Cemetery,0,"100,000","100,000","100,000"
0512 Cemetery Perpetual Care Fund,0512 Cemetery Perpetual Care Fund,0,"100,000","100,000","100,000"
,500 Cemetery Fund,0,"100,000","100,000","100,000"
,,New Port Community Development Authority,New Port Community Development Authority,New Port Community Development Authority,
0808 New Port Community Development Authority,0808 New Port Community Development Authority,0808 New Port Community Development Authority,0808 New Port Community Development Authority,,
630-82-903-9030-000000-000 New Port Community Development Authority,630-82-903-9030-000000-000 New Port Community Development Authority,630-82-903-9030-000000-000 New Port Community Development Authority,630-82-903-9030-000000-000 New Port Community Development Authority,630-82-903-9030-000000-000 New Port Community Development Authority,
521905,Contractual-Other,"1,242,976","1,022,642","1,022,642","1,019,903"
630-82-903-9030-000000-000 New Port,630-82-903-9030-000000-000 New Port,"1,242,976","1,022,642","1,022,642","1,019,903"
,0808 New Port Community,"1,242,976","1,022,642","1,022,642","1,019,903"
630 New Port Community Development,630 New Port Community Development,"1,242,976","1,022,642","1,022,642","1,019,903"
,,,Public Utility Fund,Public Utility Fund,
0513 Public Utilities Fund,0513 Public Utilities Fund,,,,
700-50-800-8000-000000-000 General Expense,700-50-800-8000-000000-000 General Expense,700-50-800-8000-000000-000 General Expense,,,
501000,Sal-Full-time,"454,171","600,206","600,206","773,783"
510099,Sal-Allow for Salary Savings,0,"-28,955","-28,955","-30,122"
511100,Bene-FICA,"33,166","43,648","43,648","46,087"
511115,Bene-Health Insurance,"147,803","67,950","67,950","246,815"
511120,Bene-Dental Insurance,243,228,228,212
511125,Bene-VRS Life Insurance,"1,214","50,830","50,830","7,169"
511140,Bene-Retirement VRS,"49,375","38,587","38,587","46,423"
511145,Bene-Retirement PSRS,"419,762","400,821","400,821","445,501"
511166,Bene-Allowance for Vacancy,0,"-2,261","-2,261","-5,079"
,Sav,,,,
511170,Accrued Annual Leave,"15,683",0,0,0
511175,Accrued Comp Time,"1,422",0,0,0
521002,Contractual-Auditing,0,0,0,"16,175"
521905,Contractual-Other,"140,966","420,713","420,713","420,713"
GovMax V5,,,,18-44,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Public Utility Fund,Public Utility Fund,
0513 Public Utilities Fund,0513 Public Utilities Fund,,,,
700-50-800-8000-000000-000 General Expense,700-50-800-8000-000000-000 General Expense,,,,
521921,Contractual-Water Purch Norfol,0,"1,000,000","1,000,000","1,000,000"
531914,Supp-Office and Printing,"7,428","8,625","8,625","8,000"
536110,Dues-Memberships,"6,082","5,347","5,347","5,347"
542010,Tele-Telephone,"2,305","2,424","2,424","2,500"
550110,Claims-Settlements and,0,"2,339","2,339","1,450"
,Refunds,,,,
555100,Training,"1,494","2,225","2,225","1,500"
555210,Travel,255,"2,225","2,225","1,500"
555228,Purchase Card,"1,135",0,0,0
890999,Depreciation Expense,"4,115,968",0,0,0
891000,Amortization-COI,"67,188",0,0,0
891010,Amortization-Bond Disc/Prem,"24,683",0,0,0
700-50-800-8000-000000-000 General,700-50-800-8000-000000-000 General,"5,490,342","2,614,952","2,614,952","2,987,974"
700-50-800-8001-000000-000 Garage,700-50-800-8001-000000-000 Garage,,,,
620101,Garage Equip Rental Charges,"447,848","327,297","327,297","432,027"
620103,Garage Contractual Charges,"10,000","10,000","10,000","10,000"
700-50-800-8001-000000-000 Garage,700-50-800-8001-000000-000 Garage,"457,848","337,297","337,297","442,027"
700-50-800-8002-000000-000 Purification Operations,700-50-800-8002-000000-000 Purification Operations,700-50-800-8002-000000-000 Purification Operations,,,
501000,Sal-Full-time,"1,041,365","1,101,541","1,101,541","1,098,627"
501100,Sal-Part-time,"7,692","30,548","30,548","30,548"
510005,Allow-On-Call,"5,359","6,479","6,479","7,560"
510007,Allow-Shift Differential,"73,824","57,610","57,610","57,610"
510099,Sal-Allow for Salary Savings,0,"-52,670","-52,670","-54,932"
511100,Bene-FICA,"82,846","80,578","80,578","84,624"
511115,Bene-Health Insurance,"222,283","123,034","123,034","153,606"
511120,Bene-Dental Insurance,748,804,804,744
511125,Bene-VRS Life Insurance,"2,810","2,949","2,949","13,163"
511140,Bene-Retirement VRS,"123,440","130,039","130,039","87,225"
511166,Bene-Allowance for Vacancy,0,"-4,175","-4,175","-4,899"
,Sav,,,,
521202,Contractual-Disposal Fees,"2,862","6,000","6,000","6,000"
521308,Contractual-Regulatory Implem,"78,170","82,400","82,400","84,050"
521706,Contractual-Janitorial,"8,145","11,230","11,230","14,280"
521901,Contractual-Chemical Analysis,"38,224","62,400","62,400","63,650"
521910,Contractual-Rental Uniforms,"2,433","4,093","4,093","4,300"
521912,Contractual-Software Services,"9,306","7,500","7,500","10,000"
521922,Contractual Lagoon,"1,292,395",0,0,"1,400,000"
,Maintenance,,,,
522110,Maint-Equipment,"100,367","124,869","124,869","128,000"
522115,Maint-Office Equipment,0,964,964,964
522140,Maint-Grass Cutting,"37,372","47,084","47,084","48,100"
524100,Repairs-Buildings and Grounds,"41,257","55,500","55,500","55,500"
524110,Repairs-Office Equipment,"1,124","1,050","1,050","1,050"
524999,Repairs-Other,"44,193","67,709","67,709","67,709"
531601,Supp-Laboratory,"50,492","57,750","57,750","60,650"
531701,Supp-Custodial,"1,194","1,673","1,673","1,750"
531904,Supp-Chemicals,"2,395,349","2,436,775","2,436,775","2,750,000"
531914,Supp-Office and Printing,"4,903","7,100","7,100","7,100"
531916,Supp-Protective Clothing,"1,182","5,206","5,206","5,206"
532160,Mat-Lubricants,"4,897","5,485","5,485","5,650"
533030,Noncap-Small Tools,156,500,500,500
533070,Noncap-Computer Software,"7,597","11,106","11,106","11,450"
536110,Dues-Memberships,458,"2,185","2,185","2,500"
537100,Trees Shrubs and Flowers,"7,392","9,998","9,998","11,000"
541010,Util-Electricity,"694,521","483,332","483,332","650,000"
GovMax V5,,,,18-45,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Public Utility Fund,Public Utility Fund,
0513 Public Utilities Fund,0513 Public Utilities Fund,,,,
700-50-800-8002-000000-000 Purification Operations,700-50-800-8002-000000-000 Purification Operations,700-50-800-8002-000000-000 Purification Operations,,,
541999,Util-Other,"13,929","20,000","20,000","7,500"
542000,Util-Wastewater Treatment,0,"15,000","15,000","15,000"
542010,Tele-Telephone,"12,438","14,050","14,050","14,500"
542020,Tele-Telephone Cellular,-460,0,0,0
543010,Fuel-Gasoline and Other,"39,526","43,501","43,501","50,000"
543020,Fuel-Natural Gas,"1,387","15,000","15,000","15,000"
555100,Training,"6,105","20,400","20,400","23,000"
,700-50-800-8002-000000-000,"6,457,283","5,096,597","5,096,597","6,988,285"
700-50-800-8003-000000-000 Maintenance of Distrib System,700-50-800-8003-000000-000 Maintenance of Distrib System,700-50-800-8003-000000-000 Maintenance of Distrib System,700-50-800-8003-000000-000 Maintenance of Distrib System,,
501000,Sal-Full-time,"561,149","702,861","702,861","701,244"
501100,Sal-Part-time,"4,457","8,600","8,600","8,600"
510000,Sal-Overtime,"28,760","18,000","18,000","18,000"
510005,Allow-On-Call,"6,739","7,560","7,560","7,560"
510007,Allow-Shift Differential,"28,815","29,535","29,535","29,535"
510099,Sal-Allow for Salary Savings,0,"-33,817","-33,817","-35,060"
511100,Bene-FICA,"45,074","51,741","51,741","54,222"
511115,Bene-Health Insurance,"193,176","121,321","121,321","132,831"
511120,Bene-Dental Insurance,481,468,468,432
511125,Bene-VRS Life Insurance,"1,524","1,897","1,897","8,437"
511140,Bene-Retirement VRS,"63,525","81,271","81,271","55,436"
511166,Bene-Allowance for Vacancy,0,"-2,682","-2,682","-3,135"
,Sav,,,,
521202,Contractual-Disposal Fees,"1,390","1,700","1,700","1,700"
521204,Contractual-Miss Utility,"19,736","22,200","22,200","22,000"
521206,Contractual-Right of Way Main,"22,146","61,000","61,000","61,000"
521208,Contractual-Street Opening,"216,929","200,000","200,000","220,000"
521210,Contractual-Water Tank Main,"2,400","3,400","3,400","7,500"
521914,Contractual-Temp Work,"58,718","82,000","82,000","72,000"
522110,Maint-Equipment,"6,049","40,000","40,000","35,000"
524100,Repairs-Buildings and Grounds,"1,020","3,000","3,000","3,000"
524999,Repairs-Other,"3,981","10,000","10,000","10,000"
531701,Supp-Custodial,"1,670","1,700","1,700","1,700"
531914,Supp-Office and Printing,"3,484","8,000","8,000","6,000"
531920,Supp-Wearing Apparel,"2,468","4,000","4,000","4,000"
531999,Supp-Other,"6,702","7,600","7,600","7,600"
532120,Mat-Construction,"74,543","75,000","75,000","75,000"
532160,Mat-Lubricants,0,400,400,0
533030,Noncap-Small Tools,667,"2,500","2,500","2,500"
541010,Util-Electricity,"163,359","145,334","145,334","190,000"
542010,Tele-Telephone,"2,944","4,000","4,000","4,000"
543020,Fuel-Natural Gas,"1,739","5,500","5,500","5,500"
555100,Training,679,"2,000","2,000","2,000"
,700-50-800-8003-000000-000,"1,524,320","1,666,089","1,666,089","1,708,602"
700-50-800-8004-000000-000 Meter Reading and Maintenance,700-50-800-8004-000000-000 Meter Reading and Maintenance,700-50-800-8004-000000-000 Meter Reading and Maintenance,700-50-800-8004-000000-000 Meter Reading and Maintenance,,
501000,Sal-Full-time,"239,045","391,066","271,066","390,191"
510000,Sal-Overtime,0,"1,125","1,125","1,125"
510099,Sal-Allow for Salary Savings,0,"-18,994","-18,994","-19,510"
511100,Bene-FICA,"17,067","29,064","29,064","29,850"
511115,Bene-Health Insurance,"148,157","86,670","86,670","91,039"
511120,Bene-Dental Insurance,258,252,252,200
511125,Bene-VRS Life Insurance,642,"1,066","1,066","4,643"
511140,Bene-Retirement VRS,"24,929","45,371","45,371","29,168"
511166,Bene-Allowance for Vacancy,0,"-1,508","-1,508","-1,714"
,Sav,,,,
521208,Contractual-Street Opening,0,883,883,883
GovMax V5,,,,18-46,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,Public Utility Fund,Public Utility Fund,
0513 Public Utilities Fund,0513 Public Utilities Fund,,,,
700-50-800-8004-000000-000 Meter Reading and Maintenance,700-50-800-8004-000000-000 Meter Reading and Maintenance,700-50-800-8004-000000-000 Meter Reading and Maintenance,,,
521905,Contractual-Other,0,0,0,"11,000"
521910,Contractual-Rental Uniforms,60,791,791,791
521914,Contractual-Temp Work,"138,929",0,"120,000",0
524999,Repairs-Other,0,56,56,56
531999,Supp-Other,0,0,0,"25,000"
532120,Mat-Construction,273,"2,760","2,760","2,760"
533030,Noncap-Small Tools,183,441,441,441
555100,Training,"19,500","25,000","25,000","25,000"
,700-50-800-8004-000000-000 Meter,"589,043","564,043","564,043","590,923"
700-50-800-8005-000000-000 Billings and Collections,700-50-800-8005-000000-000 Billings and Collections,700-50-800-8005-000000-000 Billings and Collections,,,
501000,Sal-Full-time,"363,892","463,033","463,033","460,486"
501100,Sal-Part-time,0,"11,022","11,022","11,022"
510000,Sal-Overtime,0,"11,258","11,258","11,258"
510099,Sal-Allow for Salary Savings,0,"-22,215","-22,215","-23,023"
511100,Bene-FICA,"25,499","33,185","33,185","35,227"
511115,Bene-Health Insurance,"172,042","78,934","78,934","92,315"
511120,Bene-Dental Insurance,379,420,420,316
511125,Bene-VRS Life Insurance,932,"1,216","1,216","5,481"
511140,Bene-Retirement VRS,"43,641","57,478","57,478","38,080"
511166,Bene-Allowance for Vacancy,0,"-1,719","-1,719","-2,001"
,Sav,,,,
521905,Contractual-Other,0,"27,980","27,980","173,980"
521910,Contractual-Rental Uniforms,0,552,552,0
521914,Contractual-Temp Work,"53,753","33,000","33,000","33,000"
521915,Contractual-Training,0,"3,312","3,312","1,000"
522115,Maint-Office Equipment,"2,310","4,526","4,526","4,000"
524110,Repairs-Office Equipment,0,110,110,110
